0,1,2,3,4,5
0,CGL,Chengalpattu Jn.,0.0,0,
1,TRX,Tirumani,3.16,3.16,S
2,OV,Ottivakkam,8.53,5.37,S
3,PTM,Padalam,13.24,4.71,S
4,KGZ,Karunguzhi,20.99,7.75,S
5,MMK,Madurantakam,24.64,3.65,S
6,PQM,Pakkam,31.23,6.59,S
7,MLMR,Melmaruvathur,35.53,4.3,S
8,ACK,Acharapakkam,38.37,2.84,S
9,TZD,Tozhuppedu,44.43,6.06,S
10,KSGL,Karasangal,49.6,5.17,S
11,OLA,Olakur,54.02,4.42,S
12,PCLM,Panchalam,58.75,4.73,S
13,TMV,Tindivanam,65.64,6.89,S
14,MTL,Mailam,75.0,9.36,S
15,NMO,Nedimolyanur,80.27,5.27,S
16,PEI,Perani,83.6,3.33,S
17,VVN,Vikravandi,90.08,6.48,S
18,MYP,Mundiyampakkam,96.6,6.52,S
19,VM,Villupuram Jn.,102.92,102.92,S
